language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,linked_fwd,dataset_25000.txt,25000,0,283500,4674666,3113459,25583,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,1,280291,4782292,3505916,25125,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,2,296833,4772958,3246917,22833,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,3,279709,4605333,3115750,22500,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,4,280042,4856458,3310625,22791,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,5,280334,4551000,3177042,23375,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,6,279709,4664583,3151500,22792,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,7,280208,4436125,3217375,25292,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,8,279500,4803167,3725041,23750,125,309399781
cpp,linked_fwd,dataset_25000.txt,25000,9,279959,4571959,3250834,22417,125,309399781
