language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,hash,dataset_10000.txt,10000,0,167458,291,2042,12333,50,49520689
cpp,hash,dataset_10000.txt,10000,1,142625,292,1958,12250,50,49520689
cpp,hash,dataset_10000.txt,10000,2,142500,292,1875,12417,50,49520689
cpp,hash,dataset_10000.txt,10000,3,142458,292,1917,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,4,142375,292,1916,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,5,142458,292,1916,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,6,142292,291,1917,12208,50,49520689
cpp,hash,dataset_10000.txt,10000,7,142458,250,1917,12125,50,49520689
cpp,hash,dataset_10000.txt,10000,8,155292,292,1916,12000,50,49520689
cpp,hash,dataset_10000.txt,10000,9,146042,292,1917,12292,50,49520689
