language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
cpp,linked,dataset_5000.txt,5000,0,71708,229000,128375,6292,25,12372368
cpp,linked,dataset_5000.txt,5000,1,56083,239375,133417,4750,25,12372368
cpp,linked,dataset_5000.txt,5000,2,56084,194709,122334,4750,25,12372368
cpp,linked,dataset_5000.txt,5000,3,56042,237541,127167,6375,25,12372368
cpp,linked,dataset_5000.txt,5000,4,56042,180334,125416,6833,25,12372368
cpp,linked,dataset_5000.txt,5000,5,56083,188166,124959,5000,25,12372368
cpp,linked,dataset_5000.txt,5000,6,56000,192041,159959,5667,25,12372368
cpp,linked,dataset_5000.txt,5000,7,56000,238334,126500,4875,25,12372368
cpp,linked,dataset_5000.txt,5000,8,56042,187167,129292,6875,25,12372368
cpp,linked,dataset_5000.txt,5000,9,56125,209125,126792,4917,25,12372368
